sexe;preusuel;annais;nombre
1;LUDOVICK;1971;5
1;LUDOVICK;1972;5
1;LUDOVICK;1973;6
1;LUDOVICK;1974;8
1;LUDOVICK;1975;5
1;LUDOVICK;1976;4
1;LUDOVICK;1977;4
1;LUDOVICK;1978;4
1;LUDOVICK;1979;9
1;LUDOVICK;1980;9
1;LUDOVICK;1981;9
1;LUDOVICK;1982;5
1;LUDOVICK;1984;6
1;LUDOVICK;1985;10
1;LUDOVICK;1986;5
1;LUDOVICK;1987;3
1;LUDOVICK;1988;6
1;LUDOVICK;1989;8
1;LUDOVICK;1990;3
1;LUDOVICK;1991;6
1;LUDOVICK;1992;6
1;LUDOVICK;1993;9
1;LUDOVICK;1994;5
1;LUDOVICK;1995;14
1;LUDOVICK;1996;6
1;LUDOVICK;1997;10
1;LUDOVICK;1998;5
1;LUDOVICK;1999;10
1;LUDOVICK;2000;4
1;LUDOVICK;2001;4
1;LUDOVICK;2002;8
1;LUDOVICK;2003;5
1;LUDOVICK;2004;5
1;LUDOVICK;2007;5
1;LUDOVICK;2009;4
1;LUDOVICK;2012;4
1;LUDOVICK;XXXX;21
