sexe;preusuel;annais;nombre
1;CHRETIEN;1900;21
1;CHRETIEN;1901;30
1;CHRETIEN;1902;24
1;CHRETIEN;1903;27
1;CHRETIEN;1904;28
1;CHRETIEN;1905;24
1;CHRETIEN;1906;23
1;CHRETIEN;1907;18
1;CHRETIEN;1908;22
1;CHRETIEN;1909;18
1;CHRETIEN;1910;28
1;CHRETIEN;1911;23
1;CHRETIEN;1912;20
1;CHRETIEN;1913;18
1;CHRETIEN;1914;18
1;CHRETIEN;1915;18
1;CHRETIEN;1916;5
1;CHRETIEN;1917;6
1;CHRETIEN;1918;9
1;CHRETIEN;1919;22
1;CHRETIEN;1920;27
1;CHRETIEN;1921;34
1;CHRETIEN;1922;20
1;CHRETIEN;1923;19
1;CHRETIEN;1924;12
1;CHRETIEN;1925;21
1;CHRETIEN;1926;18
1;CHRETIEN;1927;16
1;CHRETIEN;1928;13
1;CHRETIEN;1929;12
1;CHRETIEN;1930;16
1;CHRETIEN;1931;15
1;CHRETIEN;1932;11
1;CHRETIEN;1933;9
1;CHRETIEN;1934;14
1;CHRETIEN;1935;14
1;CHRETIEN;1936;10
1;CHRETIEN;1937;11
1;CHRETIEN;1938;14
1;CHRETIEN;1939;7
1;CHRETIEN;1940;5
1;CHRETIEN;1941;4
1;CHRETIEN;1942;3
1;CHRETIEN;1944;6
1;CHRETIEN;1945;7
1;CHRETIEN;1946;10
1;CHRETIEN;1947;15
1;CHRETIEN;1948;12
1;CHRETIEN;1949;7
1;CHRETIEN;1950;7
1;CHRETIEN;1951;6
1;CHRETIEN;1952;4
1;CHRETIEN;1954;4
1;CHRETIEN;1955;5
1;CHRETIEN;1956;4
1;CHRETIEN;1958;3
1;CHRETIEN;1963;4
1;CHRETIEN;1988;3
1;CHRETIEN;XXXX;14
