sexe;preusuel;annais;nombre
2;CORALY;1966;4
2;CORALY;1967;3
2;CORALY;1969;3
2;CORALY;1972;5
2;CORALY;1973;6
2;CORALY;1974;4
2;CORALY;1976;4
2;CORALY;1982;6
2;CORALY;1984;6
2;CORALY;1985;10
2;CORALY;1986;11
2;CORALY;1987;17
2;CORALY;1988;13
2;CORALY;1989;13
2;CORALY;1990;17
2;CORALY;1991;19
2;CORALY;1992;13
2;CORALY;1993;28
2;CORALY;1994;30
2;CORALY;1995;37
2;CORALY;1996;34
2;CORALY;1997;43
2;CORALY;1998;25
2;CORALY;1999;36
2;CORALY;2000;30
2;CORALY;2001;33
2;CORALY;2002;40
2;CORALY;2003;33
2;CORALY;2004;36
2;CORALY;2005;29
2;CORALY;2006;22
2;CORALY;2007;27
2;CORALY;2008;17
2;CORALY;2009;20
2;CORALY;2010;14
2;CORALY;2011;13
2;CORALY;2012;13
2;CORALY;2014;5
2;CORALY;2015;6
2;CORALY;2016;5
2;CORALY;2021;3
2;CORALY;XXXX;18
