sexe;preusuel;annais;nombre
1;CZESLAW;1921;3
1;CZESLAW;1922;7
1;CZESLAW;1923;17
1;CZESLAW;1924;47
1;CZESLAW;1925;80
1;CZESLAW;1926;76
1;CZESLAW;1927;65
1;CZESLAW;1928;94
1;CZESLAW;1929;89
1;CZESLAW;1930;109
1;CZESLAW;1931;137
1;CZESLAW;1932;109
1;CZESLAW;1933;96
1;CZESLAW;1934;84
1;CZESLAW;1935;52
1;CZESLAW;1936;33
1;CZESLAW;1937;41
1;CZESLAW;1938;40
1;CZESLAW;1939;27
1;CZESLAW;1940;23
1;CZESLAW;1941;24
1;CZESLAW;1942;21
1;CZESLAW;1943;13
1;CZESLAW;1944;28
1;CZESLAW;1945;15
1;CZESLAW;1946;28
1;CZESLAW;1947;13
1;CZESLAW;1948;11
1;CZESLAW;1949;12
1;CZESLAW;1950;10
1;CZESLAW;1951;13
1;CZESLAW;1952;10
1;CZESLAW;1954;3
1;CZESLAW;1956;3
1;CZESLAW;XXXX;20
