sexe;preusuel;annais;nombre
2;AYLA;1973;3
2;AYLA;1974;6
2;AYLA;1975;3
2;AYLA;1976;4
2;AYLA;1977;8
2;AYLA;1978;8
2;AYLA;1979;9
2;AYLA;1980;5
2;AYLA;1981;9
2;AYLA;1982;13
2;AYLA;1983;6
2;AYLA;1984;9
2;AYLA;1985;17
2;AYLA;1986;4
2;AYLA;1987;3
2;AYLA;1988;7
2;AYLA;1989;8
2;AYLA;1990;9
2;AYLA;1991;5
2;AYLA;1992;9
2;AYLA;1993;5
2;AYLA;1994;10
2;AYLA;1995;13
2;AYLA;1996;9
2;AYLA;1997;11
2;AYLA;1998;9
2;AYLA;1999;9
2;AYLA;2000;10
2;AYLA;2001;12
2;AYLA;2002;20
2;AYLA;2003;24
2;AYLA;2004;19
2;AYLA;2005;31
2;AYLA;2006;17
2;AYLA;2007;31
2;AYLA;2008;38
2;AYLA;2009;35
2;AYLA;2010;37
2;AYLA;2011;41
2;AYLA;2012;54
2;AYLA;2013;52
2;AYLA;2014;67
2;AYLA;2015;65
2;AYLA;2016;95
2;AYLA;2017;109
2;AYLA;2018;164
2;AYLA;2019;170
2;AYLA;2020;252
2;AYLA;2021;307
2;AYLA;2022;403
2;AYLA;XXXX;5
