sexe;preusuel;annais;nombre
2;CHRISTEL;1938;3
2;CHRISTEL;1939;5
2;CHRISTEL;1940;3
2;CHRISTEL;1941;17
2;CHRISTEL;1942;26
2;CHRISTEL;1943;38
2;CHRISTEL;1944;27
2;CHRISTEL;1945;4
2;CHRISTEL;1946;11
2;CHRISTEL;1947;11
2;CHRISTEL;1948;12
2;CHRISTEL;1949;16
2;CHRISTEL;1950;18
2;CHRISTEL;1951;24
2;CHRISTEL;1952;23
2;CHRISTEL;1953;36
2;CHRISTEL;1954;33
2;CHRISTEL;1955;35
2;CHRISTEL;1956;45
2;CHRISTEL;1957;51
2;CHRISTEL;1958;79
2;CHRISTEL;1959;96
2;CHRISTEL;1960;139
2;CHRISTEL;1961;156
2;CHRISTEL;1962;186
2;CHRISTEL;1963;310
2;CHRISTEL;1964;420
2;CHRISTEL;1965;557
2;CHRISTEL;1966;820
2;CHRISTEL;1967;1039
2;CHRISTEL;1968;1353
2;CHRISTEL;1969;1655
2;CHRISTEL;1970;1550
2;CHRISTEL;1971;1727
2;CHRISTEL;1972;2096
2;CHRISTEL;1973;1461
2;CHRISTEL;1974;978
2;CHRISTEL;1975;817
2;CHRISTEL;1976;856
2;CHRISTEL;1977;662
2;CHRISTEL;1978;572
2;CHRISTEL;1979;457
2;CHRISTEL;1980;405
2;CHRISTEL;1981;310
2;CHRISTEL;1982;295
2;CHRISTEL;1983;229
2;CHRISTEL;1984;276
2;CHRISTEL;1985;251
2;CHRISTEL;1986;204
2;CHRISTEL;1987;168
2;CHRISTEL;1988;122
2;CHRISTEL;1989;92
2;CHRISTEL;1990;90
2;CHRISTEL;1991;66
2;CHRISTEL;1992;45
2;CHRISTEL;1993;49
2;CHRISTEL;1994;33
2;CHRISTEL;1995;18
2;CHRISTEL;1996;20
2;CHRISTEL;1997;17
2;CHRISTEL;1998;10
2;CHRISTEL;1999;12
2;CHRISTEL;2000;11
2;CHRISTEL;2001;5
2;CHRISTEL;2002;5
2;CHRISTEL;2003;5
2;CHRISTEL;2004;6
2;CHRISTEL;2005;5
2;CHRISTEL;2006;4
2;CHRISTEL;2007;5
2;CHRISTEL;2008;4
2;CHRISTEL;2009;3
2;CHRISTEL;2010;4
2;CHRISTEL;2013;4
2;CHRISTEL;2017;3
2;CHRISTEL;XXXX;23
