sexe;preusuel;annais;nombre
2;CAMILA;1971;4
2;CAMILA;1973;3
2;CAMILA;1978;6
2;CAMILA;1983;3
2;CAMILA;1984;5
2;CAMILA;1985;6
2;CAMILA;1986;4
2;CAMILA;1987;3
2;CAMILA;1989;10
2;CAMILA;1990;4
2;CAMILA;1991;14
2;CAMILA;1992;12
2;CAMILA;1993;20
2;CAMILA;1994;16
2;CAMILA;1995;16
2;CAMILA;1996;28
2;CAMILA;1997;29
2;CAMILA;1998;48
2;CAMILA;1999;43
2;CAMILA;2000;39
2;CAMILA;2001;33
2;CAMILA;2002;45
2;CAMILA;2003;32
2;CAMILA;2004;39
2;CAMILA;2005;42
2;CAMILA;2006;40
2;CAMILA;2007;40
2;CAMILA;2008;50
2;CAMILA;2009;44
2;CAMILA;2010;56
2;CAMILA;2011;68
2;CAMILA;2012;82
2;CAMILA;2013;64
2;CAMILA;2014;75
2;CAMILA;2015;74
2;CAMILA;2016;107
2;CAMILA;2017;121
2;CAMILA;2018;223
2;CAMILA;2019;201
2;CAMILA;2020;240
2;CAMILA;2021;176
2;CAMILA;2022;204
2;CAMILA;XXXX;50
