sexe;preusuel;annais;nombre
1;JOVANY;1978;3
1;JOVANY;1979;5
1;JOVANY;1980;9
1;JOVANY;1981;4
1;JOVANY;1982;4
1;JOVANY;1983;5
1;JOVANY;1985;3
1;JOVANY;1986;7
1;JOVANY;1987;5
1;JOVANY;1989;3
1;JOVANY;1990;9
1;JOVANY;1992;7
1;JOVANY;1993;9
1;JOVANY;1994;4
1;JOVANY;1995;13
1;JOVANY;1996;16
1;JOVANY;1997;14
1;JOVANY;1998;15
1;JOVANY;1999;10
1;JOVANY;2000;14
1;JOVANY;2001;12
1;JOVANY;2002;22
1;JOVANY;2003;18
1;JOVANY;2004;9
1;JOVANY;2005;14
1;JOVANY;2006;16
1;JOVANY;2007;21
1;JOVANY;2008;16
1;JOVANY;2009;14
1;JOVANY;2010;15
1;JOVANY;2011;23
1;JOVANY;2012;11
1;JOVANY;2013;16
1;JOVANY;2014;15
1;JOVANY;2015;6
1;JOVANY;2016;8
1;JOVANY;2017;7
1;JOVANY;2018;10
1;JOVANY;2019;3
1;JOVANY;2020;6
1;JOVANY;2021;6
1;JOVANY;2022;10
1;JOVANY;XXXX;13
