sexe;preusuel;annais;nombre
2;MERRYL;1972;3
2;MERRYL;1974;15
2;MERRYL;1975;4
2;MERRYL;1976;5
2;MERRYL;1977;7
2;MERRYL;1978;4
2;MERRYL;1979;10
2;MERRYL;1980;10
2;MERRYL;1981;4
2;MERRYL;1982;4
2;MERRYL;1983;7
2;MERRYL;1984;10
2;MERRYL;1986;6
2;MERRYL;1987;10
2;MERRYL;1988;20
2;MERRYL;1989;10
2;MERRYL;1990;8
2;MERRYL;1991;16
2;MERRYL;1992;14
2;MERRYL;1993;7
2;MERRYL;1994;9
2;MERRYL;1995;6
2;MERRYL;1996;4
2;MERRYL;1998;4
2;MERRYL;1999;6
2;MERRYL;2000;9
2;MERRYL;2001;6
2;MERRYL;2002;5
2;MERRYL;2003;8
2;MERRYL;2004;11
2;MERRYL;2005;8
2;MERRYL;2006;15
2;MERRYL;2007;10
2;MERRYL;2008;9
2;MERRYL;2009;6
2;MERRYL;2010;7
2;MERRYL;2011;8
2;MERRYL;2015;4
2;MERRYL;2016;4
2;MERRYL;2018;5
2;MERRYL;2019;4
2;MERRYL;2020;4
2;MERRYL;XXXX;16
