sexe;preusuel;annais;nombre
1;ABDULLAH;1975;5
1;ABDULLAH;1977;5
1;ABDULLAH;1978;8
1;ABDULLAH;1979;7
1;ABDULLAH;1980;13
1;ABDULLAH;1981;13
1;ABDULLAH;1982;15
1;ABDULLAH;1983;11
1;ABDULLAH;1984;16
1;ABDULLAH;1985;18
1;ABDULLAH;1986;15
1;ABDULLAH;1987;17
1;ABDULLAH;1988;15
1;ABDULLAH;1989;16
1;ABDULLAH;1990;17
1;ABDULLAH;1991;26
1;ABDULLAH;1992;21
1;ABDULLAH;1993;32
1;ABDULLAH;1994;29
1;ABDULLAH;1995;28
1;ABDULLAH;1996;22
1;ABDULLAH;1997;24
1;ABDULLAH;1998;21
1;ABDULLAH;1999;20
1;ABDULLAH;2000;29
1;ABDULLAH;2001;32
1;ABDULLAH;2002;41
1;ABDULLAH;2003;34
1;ABDULLAH;2004;35
1;ABDULLAH;2005;42
1;ABDULLAH;2006;51
1;ABDULLAH;2007;32
1;ABDULLAH;2008;48
1;ABDULLAH;2009;39
1;ABDULLAH;2010;54
1;ABDULLAH;2011;52
1;ABDULLAH;2012;52
1;ABDULLAH;2013;69
1;ABDULLAH;2014;72
1;ABDULLAH;2015;79
1;ABDULLAH;2016;81
1;ABDULLAH;2017;71
1;ABDULLAH;2018;81
1;ABDULLAH;2019;72
1;ABDULLAH;2020;51
1;ABDULLAH;2021;62
1;ABDULLAH;2022;69
1;ABDULLAH;XXXX;17
