sexe;preusuel;annais;nombre
2;MARIE-LINE;1942;3
2;MARIE-LINE;1943;4
2;MARIE-LINE;1944;4
2;MARIE-LINE;1945;3
2;MARIE-LINE;1946;18
2;MARIE-LINE;1947;11
2;MARIE-LINE;1948;27
2;MARIE-LINE;1949;44
2;MARIE-LINE;1950;42
2;MARIE-LINE;1951;49
2;MARIE-LINE;1952;47
2;MARIE-LINE;1953;107
2;MARIE-LINE;1954;414
2;MARIE-LINE;1955;479
2;MARIE-LINE;1956;519
2;MARIE-LINE;1957;986
2;MARIE-LINE;1958;1168
2;MARIE-LINE;1959;1300
2;MARIE-LINE;1960;1165
2;MARIE-LINE;1961;1000
2;MARIE-LINE;1962;983
2;MARIE-LINE;1963;945
2;MARIE-LINE;1964;905
2;MARIE-LINE;1965;773
2;MARIE-LINE;1966;649
2;MARIE-LINE;1967;511
2;MARIE-LINE;1968;438
2;MARIE-LINE;1969;410
2;MARIE-LINE;1970;362
2;MARIE-LINE;1971;322
2;MARIE-LINE;1972;279
2;MARIE-LINE;1973;208
2;MARIE-LINE;1974;231
2;MARIE-LINE;1975;175
2;MARIE-LINE;1976;131
2;MARIE-LINE;1977;165
2;MARIE-LINE;1978;135
2;MARIE-LINE;1979;137
2;MARIE-LINE;1980;142
2;MARIE-LINE;1981;111
2;MARIE-LINE;1982;103
2;MARIE-LINE;1983;81
2;MARIE-LINE;1984;83
2;MARIE-LINE;1985;84
2;MARIE-LINE;1986;52
2;MARIE-LINE;1987;53
2;MARIE-LINE;1988;42
2;MARIE-LINE;1989;33
2;MARIE-LINE;1990;35
2;MARIE-LINE;1991;32
2;MARIE-LINE;1992;32
2;MARIE-LINE;1993;19
2;MARIE-LINE;1994;24
2;MARIE-LINE;1995;21
2;MARIE-LINE;1996;20
2;MARIE-LINE;1997;22
2;MARIE-LINE;1998;21
2;MARIE-LINE;1999;15
2;MARIE-LINE;2000;14
2;MARIE-LINE;2001;10
2;MARIE-LINE;2002;9
2;MARIE-LINE;2003;13
2;MARIE-LINE;2004;4
2;MARIE-LINE;2005;12
2;MARIE-LINE;2006;7
2;MARIE-LINE;2007;6
2;MARIE-LINE;2008;6
2;MARIE-LINE;2011;6
2;MARIE-LINE;2013;4
2;MARIE-LINE;2018;3
2;MARIE-LINE;2019;3
2;MARIE-LINE;2020;3
2;MARIE-LINE;XXXX;17
