sexe;preusuel;annais;nombre
2;MELIHA;1975;3
2;MELIHA;1978;4
2;MELIHA;1980;3
2;MELIHA;1982;3
2;MELIHA;1983;4
2;MELIHA;1984;3
2;MELIHA;1986;8
2;MELIHA;1989;4
2;MELIHA;1990;3
2;MELIHA;1991;3
2;MELIHA;1992;9
2;MELIHA;1993;6
2;MELIHA;1994;3
2;MELIHA;1995;3
2;MELIHA;1996;11
2;MELIHA;1997;8
2;MELIHA;1998;11
2;MELIHA;1999;6
2;MELIHA;2000;11
2;MELIHA;2001;19
2;MELIHA;2002;11
2;MELIHA;2003;19
2;MELIHA;2004;20
2;MELIHA;2005;18
2;MELIHA;2006;20
2;MELIHA;2007;20
2;MELIHA;2008;39
2;MELIHA;2009;32
2;MELIHA;2010;28
2;MELIHA;2011;29
2;MELIHA;2012;31
2;MELIHA;2013;26
2;MELIHA;2014;30
2;MELIHA;2015;33
2;MELIHA;2016;49
2;MELIHA;2017;52
2;MELIHA;2018;37
2;MELIHA;2019;42
2;MELIHA;2020;21
2;MELIHA;2021;44
2;MELIHA;2022;34
2;MELIHA;XXXX;6
