sexe;preusuel;annais;nombre
2;MAGALY;1939;3
2;MAGALY;1942;3
2;MAGALY;1944;4
2;MAGALY;1945;5
2;MAGALY;1946;6
2;MAGALY;1947;6
2;MAGALY;1948;8
2;MAGALY;1949;6
2;MAGALY;1950;13
2;MAGALY;1951;3
2;MAGALY;1952;9
2;MAGALY;1953;7
2;MAGALY;1955;10
2;MAGALY;1956;6
2;MAGALY;1957;6
2;MAGALY;1958;8
2;MAGALY;1959;15
2;MAGALY;1960;9
2;MAGALY;1961;7
2;MAGALY;1962;22
2;MAGALY;1963;15
2;MAGALY;1964;18
2;MAGALY;1965;21
2;MAGALY;1966;31
2;MAGALY;1967;31
2;MAGALY;1968;32
2;MAGALY;1969;49
2;MAGALY;1970;43
2;MAGALY;1971;143
2;MAGALY;1972;111
2;MAGALY;1973;107
2;MAGALY;1974;114
2;MAGALY;1975;110
2;MAGALY;1976;88
2;MAGALY;1977;104
2;MAGALY;1978;127
2;MAGALY;1979;88
2;MAGALY;1980;156
2;MAGALY;1981;135
2;MAGALY;1982;91
2;MAGALY;1983;76
2;MAGALY;1984;65
2;MAGALY;1985;79
2;MAGALY;1986;70
2;MAGALY;1987;97
2;MAGALY;1988;61
2;MAGALY;1989;56
2;MAGALY;1990;39
2;MAGALY;1991;31
2;MAGALY;1992;27
2;MAGALY;1993;34
2;MAGALY;1994;29
2;MAGALY;1995;31
2;MAGALY;1996;26
2;MAGALY;1997;21
2;MAGALY;1998;12
2;MAGALY;1999;10
2;MAGALY;2000;11
2;MAGALY;2001;11
2;MAGALY;2002;11
2;MAGALY;2003;3
2;MAGALY;2004;3
2;MAGALY;2005;6
2;MAGALY;2006;4
2;MAGALY;2008;4
2;MAGALY;2011;3
2;MAGALY;2013;4
2;MAGALY;2015;4
2;MAGALY;XXXX;27
