sexe;preusuel;annais;nombre
1;LOTHAIRE;1910;3
1;LOTHAIRE;1918;3
1;LOTHAIRE;1932;3
1;LOTHAIRE;1936;3
1;LOTHAIRE;1941;11
1;LOTHAIRE;1942;15
1;LOTHAIRE;1943;9
1;LOTHAIRE;1944;6
1;LOTHAIRE;1947;3
1;LOTHAIRE;1949;7
1;LOTHAIRE;1951;5
1;LOTHAIRE;1952;3
1;LOTHAIRE;1953;3
1;LOTHAIRE;1955;6
1;LOTHAIRE;1958;4
1;LOTHAIRE;1960;3
1;LOTHAIRE;1964;3
1;LOTHAIRE;1969;4
1;LOTHAIRE;1976;3
1;LOTHAIRE;1977;4
1;LOTHAIRE;1980;3
1;LOTHAIRE;1981;5
1;LOTHAIRE;1982;3
1;LOTHAIRE;1983;3
1;LOTHAIRE;1985;7
1;LOTHAIRE;1986;3
1;LOTHAIRE;1988;5
1;LOTHAIRE;1989;4
1;LOTHAIRE;1990;3
1;LOTHAIRE;1991;3
1;LOTHAIRE;1992;11
1;LOTHAIRE;1993;6
1;LOTHAIRE;1994;6
1;LOTHAIRE;1995;7
1;LOTHAIRE;1996;11
1;LOTHAIRE;1997;13
1;LOTHAIRE;1998;10
1;LOTHAIRE;1999;7
1;LOTHAIRE;2000;9
1;LOTHAIRE;2001;13
1;LOTHAIRE;2002;9
1;LOTHAIRE;2003;15
1;LOTHAIRE;2004;12
1;LOTHAIRE;2005;14
1;LOTHAIRE;2006;18
1;LOTHAIRE;2007;6
1;LOTHAIRE;2008;14
1;LOTHAIRE;2009;13
1;LOTHAIRE;2010;21
1;LOTHAIRE;2011;5
1;LOTHAIRE;2012;16
1;LOTHAIRE;2013;4
1;LOTHAIRE;2014;10
1;LOTHAIRE;2015;8
1;LOTHAIRE;2016;8
1;LOTHAIRE;2017;4
1;LOTHAIRE;2018;3
1;LOTHAIRE;2019;5
1;LOTHAIRE;2020;3
1;LOTHAIRE;2021;6
1;LOTHAIRE;2022;5
1;LOTHAIRE;XXXX;64
