sexe;preusuel;annais;nombre
2;SOUAD;1958;3
2;SOUAD;1959;6
2;SOUAD;1960;5
2;SOUAD;1961;11
2;SOUAD;1962;9
2;SOUAD;1963;12
2;SOUAD;1964;21
2;SOUAD;1965;14
2;SOUAD;1966;20
2;SOUAD;1967;27
2;SOUAD;1968;33
2;SOUAD;1969;34
2;SOUAD;1970;41
2;SOUAD;1971;44
2;SOUAD;1972;56
2;SOUAD;1973;70
2;SOUAD;1974;70
2;SOUAD;1975;84
2;SOUAD;1976;107
2;SOUAD;1977;120
2;SOUAD;1978;116
2;SOUAD;1979;140
2;SOUAD;1980;124
2;SOUAD;1981;166
2;SOUAD;1982;144
2;SOUAD;1983;178
2;SOUAD;1984;144
2;SOUAD;1985;168
2;SOUAD;1986;142
2;SOUAD;1987;124
2;SOUAD;1988;116
2;SOUAD;1989;95
2;SOUAD;1990;98
2;SOUAD;1991;84
2;SOUAD;1992;78
2;SOUAD;1993;86
2;SOUAD;1994;52
2;SOUAD;1995;59
2;SOUAD;1996;48
2;SOUAD;1997;42
2;SOUAD;1998;43
2;SOUAD;1999;45
2;SOUAD;2000;47
2;SOUAD;2001;38
2;SOUAD;2002;35
2;SOUAD;2003;32
2;SOUAD;2004;31
2;SOUAD;2005;32
2;SOUAD;2006;30
2;SOUAD;2007;40
2;SOUAD;2008;40
2;SOUAD;2009;39
2;SOUAD;2010;32
2;SOUAD;2011;33
2;SOUAD;2012;27
2;SOUAD;2013;29
2;SOUAD;2014;29
2;SOUAD;2015;31
2;SOUAD;2016;29
2;SOUAD;2017;24
2;SOUAD;2018;38
2;SOUAD;2019;21
2;SOUAD;2020;33
2;SOUAD;2021;33
2;SOUAD;2022;14
2;SOUAD;XXXX;6
