sexe;preusuel;annais;nombre
1;FLORIAN;1900;20
1;FLORIAN;1901;19
1;FLORIAN;1902;15
1;FLORIAN;1903;8
1;FLORIAN;1904;15
1;FLORIAN;1905;21
1;FLORIAN;1906;12
1;FLORIAN;1907;21
1;FLORIAN;1908;18
1;FLORIAN;1909;20
1;FLORIAN;1910;25
1;FLORIAN;1911;16
1;FLORIAN;1912;17
1;FLORIAN;1913;18
1;FLORIAN;1914;19
1;FLORIAN;1915;8
1;FLORIAN;1916;7
1;FLORIAN;1917;10
1;FLORIAN;1918;11
1;FLORIAN;1919;12
1;FLORIAN;1920;23
1;FLORIAN;1921;23
1;FLORIAN;1922;12
1;FLORIAN;1923;24
1;FLORIAN;1924;33
1;FLORIAN;1925;28
1;FLORIAN;1926;23
1;FLORIAN;1927;33
1;FLORIAN;1928;14
1;FLORIAN;1929;17
1;FLORIAN;1930;18
1;FLORIAN;1931;15
1;FLORIAN;1932;21
1;FLORIAN;1933;19
1;FLORIAN;1934;15
1;FLORIAN;1935;16
1;FLORIAN;1936;15
1;FLORIAN;1937;20
1;FLORIAN;1938;9
1;FLORIAN;1939;20
1;FLORIAN;1940;17
1;FLORIAN;1941;13
1;FLORIAN;1942;14
1;FLORIAN;1943;9
1;FLORIAN;1944;11
1;FLORIAN;1945;10
1;FLORIAN;1946;13
1;FLORIAN;1947;18
1;FLORIAN;1948;13
1;FLORIAN;1949;23
1;FLORIAN;1950;29
1;FLORIAN;1951;29
1;FLORIAN;1952;35
1;FLORIAN;1953;24
1;FLORIAN;1954;34
1;FLORIAN;1955;29
1;FLORIAN;1956;32
1;FLORIAN;1957;38
1;FLORIAN;1958;56
1;FLORIAN;1959;48
1;FLORIAN;1960;52
1;FLORIAN;1961;86
1;FLORIAN;1962;71
1;FLORIAN;1963;99
1;FLORIAN;1964;76
1;FLORIAN;1965;94
1;FLORIAN;1966;129
1;FLORIAN;1967;156
1;FLORIAN;1968;203
1;FLORIAN;1969;227
1;FLORIAN;1970;292
1;FLORIAN;1971;286
1;FLORIAN;1972;284
1;FLORIAN;1973;335
1;FLORIAN;1974;288
1;FLORIAN;1975;324
1;FLORIAN;1976;409
1;FLORIAN;1977;492
1;FLORIAN;1978;545
1;FLORIAN;1979;685
1;FLORIAN;1980;1771
1;FLORIAN;1981;2886
1;FLORIAN;1982;2412
1;FLORIAN;1983;2420
1;FLORIAN;1984;2922
1;FLORIAN;1985;3219
1;FLORIAN;1986;3748
1;FLORIAN;1987;4516
1;FLORIAN;1988;5048
1;FLORIAN;1989;5771
1;FLORIAN;1990;6683
1;FLORIAN;1991;6995
1;FLORIAN;1992;6356
1;FLORIAN;1993;5937
1;FLORIAN;1994;6116
1;FLORIAN;1995;6259
1;FLORIAN;1996;6033
1;FLORIAN;1997;5354
1;FLORIAN;1998;5052
1;FLORIAN;1999;4752
1;FLORIAN;2000;4374
1;FLORIAN;2001;3866
1;FLORIAN;2002;3107
1;FLORIAN;2003;2539
1;FLORIAN;2004;2240
1;FLORIAN;2005;1843
1;FLORIAN;2006;1720
1;FLORIAN;2007;1348
1;FLORIAN;2008;1056
1;FLORIAN;2009;916
1;FLORIAN;2010;766
1;FLORIAN;2011;727
1;FLORIAN;2012;629
1;FLORIAN;2013;438
1;FLORIAN;2014;430
1;FLORIAN;2015;295
1;FLORIAN;2016;200
1;FLORIAN;2017;172
1;FLORIAN;2018;159
1;FLORIAN;2019;118
1;FLORIAN;2020;91
1;FLORIAN;2021;63
1;FLORIAN;2022;65
