sexe;preusuel;annais;nombre
2;YOANNA;1973;5
2;YOANNA;1975;5
2;YOANNA;1976;7
2;YOANNA;1977;9
2;YOANNA;1978;8
2;YOANNA;1979;16
2;YOANNA;1980;12
2;YOANNA;1981;10
2;YOANNA;1982;13
2;YOANNA;1983;15
2;YOANNA;1984;21
2;YOANNA;1985;9
2;YOANNA;1986;14
2;YOANNA;1987;10
2;YOANNA;1988;7
2;YOANNA;1989;12
2;YOANNA;1990;14
2;YOANNA;1991;7
2;YOANNA;1992;4
2;YOANNA;1993;15
2;YOANNA;1994;4
2;YOANNA;1995;9
2;YOANNA;1996;10
2;YOANNA;1997;8
2;YOANNA;1998;7
2;YOANNA;1999;5
2;YOANNA;2000;11
2;YOANNA;2001;9
2;YOANNA;2002;10
2;YOANNA;2003;8
2;YOANNA;2004;7
2;YOANNA;2005;8
2;YOANNA;2006;6
2;YOANNA;2007;5
2;YOANNA;2008;14
2;YOANNA;2009;8
2;YOANNA;2010;7
2;YOANNA;2012;7
2;YOANNA;2013;6
2;YOANNA;2014;7
2;YOANNA;2015;3
2;YOANNA;2016;3
2;YOANNA;2017;3
2;YOANNA;2018;5
2;YOANNA;2020;5
2;YOANNA;2021;5
2;YOANNA;2022;5
2;YOANNA;XXXX;12
