sexe;preusuel;annais;nombre
2;LEANNE;1992;3
2;LEANNE;1994;13
2;LEANNE;1995;14
2;LEANNE;1996;20
2;LEANNE;1997;34
2;LEANNE;1998;18
2;LEANNE;1999;61
2;LEANNE;2000;65
2;LEANNE;2001;109
2;LEANNE;2002;124
2;LEANNE;2003;199
2;LEANNE;2004;169
2;LEANNE;2005;203
2;LEANNE;2006;207
2;LEANNE;2007;182
2;LEANNE;2008;208
2;LEANNE;2009;202
2;LEANNE;2010;147
2;LEANNE;2011;76
2;LEANNE;2012;50
2;LEANNE;2013;16
2;LEANNE;2014;22
2;LEANNE;2015;21
2;LEANNE;2016;23
2;LEANNE;2017;18
2;LEANNE;2018;11
2;LEANNE;2019;6
2;LEANNE;2020;4
2;LEANNE;2021;4
2;LEANNE;2022;7
2;LEANNE;XXXX;11
