sexe;preusuel;annais;nombre
2;EVIE;1974;3
2;EVIE;1983;3
2;EVIE;1984;3
2;EVIE;1985;3
2;EVIE;1988;3
2;EVIE;1989;16
2;EVIE;1990;3
2;EVIE;1991;8
2;EVIE;1992;14
2;EVIE;1993;14
2;EVIE;1994;14
2;EVIE;1995;16
2;EVIE;1996;6
2;EVIE;1997;5
2;EVIE;1998;14
2;EVIE;1999;6
2;EVIE;2000;12
2;EVIE;2001;22
2;EVIE;2002;23
2;EVIE;2003;31
2;EVIE;2004;23
2;EVIE;2005;23
2;EVIE;2006;23
2;EVIE;2007;33
2;EVIE;2008;29
2;EVIE;2009;22
2;EVIE;2010;29
2;EVIE;2011;28
2;EVIE;2012;18
2;EVIE;2013;29
2;EVIE;2014;26
2;EVIE;2015;24
2;EVIE;2016;38
2;EVIE;2017;43
2;EVIE;2018;55
2;EVIE;2019;32
2;EVIE;2020;40
2;EVIE;2021;49
2;EVIE;2022;30
2;EVIE;XXXX;15
