sexe;preusuel;annais;nombre
1;BRENDON;1986;7
1;BRENDON;1987;9
1;BRENDON;1988;13
1;BRENDON;1989;15
1;BRENDON;1990;10
1;BRENDON;1991;19
1;BRENDON;1992;21
1;BRENDON;1993;21
1;BRENDON;1994;26
1;BRENDON;1995;29
1;BRENDON;1996;14
1;BRENDON;1997;24
1;BRENDON;1998;12
1;BRENDON;1999;13
1;BRENDON;2000;14
1;BRENDON;2001;18
1;BRENDON;2002;7
1;BRENDON;2003;6
1;BRENDON;2004;14
1;BRENDON;2005;14
1;BRENDON;2006;9
1;BRENDON;2007;5
1;BRENDON;2008;4
1;BRENDON;2009;7
1;BRENDON;2010;7
1;BRENDON;2011;9
1;BRENDON;2012;4
1;BRENDON;2013;6
1;BRENDON;2014;8
1;BRENDON;2015;3
1;BRENDON;2017;3
1;BRENDON;2018;6
1;BRENDON;2019;4
1;BRENDON;2020;6
1;BRENDON;2021;4
1;BRENDON;XXXX;4
