sexe;preusuel;annais;nombre
2;MOUNA;1961;3
2;MOUNA;1962;4
2;MOUNA;1965;6
2;MOUNA;1966;8
2;MOUNA;1967;6
2;MOUNA;1968;5
2;MOUNA;1969;13
2;MOUNA;1970;7
2;MOUNA;1971;17
2;MOUNA;1972;17
2;MOUNA;1973;28
2;MOUNA;1974;38
2;MOUNA;1975;30
2;MOUNA;1976;37
2;MOUNA;1977;37
2;MOUNA;1978;45
2;MOUNA;1979;62
2;MOUNA;1980;66
2;MOUNA;1981;92
2;MOUNA;1982;66
2;MOUNA;1983;93
2;MOUNA;1984;62
2;MOUNA;1985;59
2;MOUNA;1986;59
2;MOUNA;1987;59
2;MOUNA;1988;58
2;MOUNA;1989;78
2;MOUNA;1990;61
2;MOUNA;1991;49
2;MOUNA;1992;54
2;MOUNA;1993;55
2;MOUNA;1994;46
2;MOUNA;1995;43
2;MOUNA;1996;48
2;MOUNA;1997;41
2;MOUNA;1998;42
2;MOUNA;1999;44
2;MOUNA;2000;62
2;MOUNA;2001;64
2;MOUNA;2002;47
2;MOUNA;2003;37
2;MOUNA;2004;56
2;MOUNA;2005;65
2;MOUNA;2006;71
2;MOUNA;2007;47
2;MOUNA;2008;47
2;MOUNA;2009;49
2;MOUNA;2010;43
2;MOUNA;2011;48
2;MOUNA;2012;56
2;MOUNA;2013;46
2;MOUNA;2014;58
2;MOUNA;2015;38
2;MOUNA;2016;50
2;MOUNA;2017;40
2;MOUNA;2018;46
2;MOUNA;2019;24
2;MOUNA;2020;36
2;MOUNA;2021;29
2;MOUNA;2022;26
2;MOUNA;XXXX;10
