sexe;preusuel;annais;nombre
1;MATHIS;1901;3
1;MATHIS;1902;4
1;MATHIS;1903;7
1;MATHIS;1905;7
1;MATHIS;1906;3
1;MATHIS;1910;3
1;MATHIS;1912;3
1;MATHIS;1916;3
1;MATHIS;1934;3
1;MATHIS;1950;3
1;MATHIS;1977;3
1;MATHIS;1978;6
1;MATHIS;1979;4
1;MATHIS;1981;9
1;MATHIS;1982;11
1;MATHIS;1983;4
1;MATHIS;1984;6
1;MATHIS;1985;9
1;MATHIS;1986;14
1;MATHIS;1987;18
1;MATHIS;1988;21
1;MATHIS;1989;29
1;MATHIS;1990;39
1;MATHIS;1991;58
1;MATHIS;1992;88
1;MATHIS;1993;140
1;MATHIS;1994;173
1;MATHIS;1995;277
1;MATHIS;1996;541
1;MATHIS;1997;819
1;MATHIS;1998;1061
1;MATHIS;1999;1608
1;MATHIS;2000;2311
1;MATHIS;2001;2874
1;MATHIS;2002;3781
1;MATHIS;2003;4753
1;MATHIS;2004;5710
1;MATHIS;2005;5780
1;MATHIS;2006;6174
1;MATHIS;2007;5837
1;MATHIS;2008;5646
1;MATHIS;2009;4648
1;MATHIS;2010;4351
1;MATHIS;2011;3819
1;MATHIS;2012;3691
1;MATHIS;2013;3262
1;MATHIS;2014;2976
1;MATHIS;2015;2601
1;MATHIS;2016;2374
1;MATHIS;2017;2165
1;MATHIS;2018;2101
1;MATHIS;2019;1926
1;MATHIS;2020;1733
1;MATHIS;2021;1801
1;MATHIS;2022;1636
1;MATHIS;XXXX;45
