sexe;preusuel;annais;nombre
2;GUILAINE;1913;3
2;GUILAINE;1919;3
2;GUILAINE;1921;3
2;GUILAINE;1924;4
2;GUILAINE;1926;5
2;GUILAINE;1929;5
2;GUILAINE;1930;3
2;GUILAINE;1931;8
2;GUILAINE;1932;8
2;GUILAINE;1933;5
2;GUILAINE;1934;5
2;GUILAINE;1935;6
2;GUILAINE;1936;6
2;GUILAINE;1937;6
2;GUILAINE;1938;4
2;GUILAINE;1939;13
2;GUILAINE;1940;8
2;GUILAINE;1941;11
2;GUILAINE;1942;13
2;GUILAINE;1943;8
2;GUILAINE;1944;13
2;GUILAINE;1945;10
2;GUILAINE;1946;25
2;GUILAINE;1947;25
2;GUILAINE;1948;25
2;GUILAINE;1949;29
2;GUILAINE;1950;38
2;GUILAINE;1951;42
2;GUILAINE;1952;39
2;GUILAINE;1953;40
2;GUILAINE;1954;53
2;GUILAINE;1955;46
2;GUILAINE;1956;86
2;GUILAINE;1957;95
2;GUILAINE;1958;96
2;GUILAINE;1959;134
2;GUILAINE;1960;112
2;GUILAINE;1961;101
2;GUILAINE;1962;124
2;GUILAINE;1963;103
2;GUILAINE;1964;110
2;GUILAINE;1965;86
2;GUILAINE;1966;83
2;GUILAINE;1967;91
2;GUILAINE;1968;92
2;GUILAINE;1969;61
2;GUILAINE;1970;58
2;GUILAINE;1971;59
2;GUILAINE;1972;65
2;GUILAINE;1973;46
2;GUILAINE;1974;54
2;GUILAINE;1975;55
2;GUILAINE;1976;28
2;GUILAINE;1977;32
2;GUILAINE;1978;42
2;GUILAINE;1979;36
2;GUILAINE;1980;39
2;GUILAINE;1981;34
2;GUILAINE;1982;23
2;GUILAINE;1983;30
2;GUILAINE;1984;19
2;GUILAINE;1985;21
2;GUILAINE;1986;17
2;GUILAINE;1987;21
2;GUILAINE;1988;21
2;GUILAINE;1989;11
2;GUILAINE;1990;13
2;GUILAINE;1991;9
2;GUILAINE;1992;5
2;GUILAINE;1993;4
2;GUILAINE;1994;8
2;GUILAINE;1995;9
2;GUILAINE;1997;5
2;GUILAINE;1998;3
2;GUILAINE;1999;3
2;GUILAINE;2000;5
2;GUILAINE;2001;4
2;GUILAINE;2004;5
2;GUILAINE;XXXX;31
