sexe;preusuel;annais;nombre
1;SONY;1965;3
1;SONY;1966;5
1;SONY;1967;5
1;SONY;1968;8
1;SONY;1969;8
1;SONY;1970;14
1;SONY;1971;14
1;SONY;1972;18
1;SONY;1973;20
1;SONY;1974;23
1;SONY;1975;27
1;SONY;1976;16
1;SONY;1977;18
1;SONY;1978;19
1;SONY;1979;18
1;SONY;1980;14
1;SONY;1981;14
1;SONY;1982;18
1;SONY;1983;8
1;SONY;1984;13
1;SONY;1985;14
1;SONY;1986;9
1;SONY;1987;23
1;SONY;1988;31
1;SONY;1989;49
1;SONY;1990;74
1;SONY;1991;44
1;SONY;1992;78
1;SONY;1993;79
1;SONY;1994;71
1;SONY;1995;75
1;SONY;1996;68
1;SONY;1997;47
1;SONY;1998;43
1;SONY;1999;33
1;SONY;2000;39
1;SONY;2001;37
1;SONY;2002;36
1;SONY;2003;24
1;SONY;2004;25
1;SONY;2005;26
1;SONY;2006;27
1;SONY;2007;20
1;SONY;2008;15
1;SONY;2009;21
1;SONY;2010;23
1;SONY;2011;16
1;SONY;2012;13
1;SONY;2013;21
1;SONY;2014;11
1;SONY;2015;14
1;SONY;2016;15
1;SONY;2017;8
1;SONY;2018;10
1;SONY;2019;10
1;SONY;2020;6
1;SONY;2021;12
1;SONY;2022;12
1;SONY;XXXX;15
