sexe;preusuel;annais;nombre
1;FRANCE;1900;16
1;FRANCE;1901;25
1;FRANCE;1902;9
1;FRANCE;1903;14
1;FRANCE;1904;16
1;FRANCE;1905;13
1;FRANCE;1906;24
1;FRANCE;1907;18
1;FRANCE;1908;13
1;FRANCE;1909;19
1;FRANCE;1910;28
1;FRANCE;1911;25
1;FRANCE;1912;21
1;FRANCE;1913;42
1;FRANCE;1914;69
1;FRANCE;1915;90
1;FRANCE;1916;63
1;FRANCE;1917;39
1;FRANCE;1918;34
1;FRANCE;1919;30
1;FRANCE;1920;23
1;FRANCE;1921;29
1;FRANCE;1922;39
1;FRANCE;1923;42
1;FRANCE;1924;25
1;FRANCE;1925;46
1;FRANCE;1926;26
1;FRANCE;1927;26
1;FRANCE;1928;40
1;FRANCE;1929;22
1;FRANCE;1930;23
1;FRANCE;1931;35
1;FRANCE;1932;28
1;FRANCE;1933;29
1;FRANCE;1934;20
1;FRANCE;1935;17
1;FRANCE;1936;22
1;FRANCE;1937;27
1;FRANCE;1938;20
1;FRANCE;1939;29
1;FRANCE;1940;30
1;FRANCE;1941;33
1;FRANCE;1942;42
1;FRANCE;1943;32
1;FRANCE;1944;52
1;FRANCE;1945;55
1;FRANCE;1946;48
1;FRANCE;1947;31
1;FRANCE;1948;30
1;FRANCE;1949;35
1;FRANCE;1950;23
1;FRANCE;1951;14
1;FRANCE;1952;20
1;FRANCE;1953;18
1;FRANCE;1954;12
1;FRANCE;1955;21
1;FRANCE;1956;13
1;FRANCE;1957;14
1;FRANCE;1958;10
1;FRANCE;1959;7
1;FRANCE;1960;6
1;FRANCE;1961;9
1;FRANCE;1962;8
1;FRANCE;1963;4
1;FRANCE;1964;8
1;FRANCE;1965;7
1;FRANCE;1966;6
1;FRANCE;1967;7
1;FRANCE;1968;8
1;FRANCE;1969;6
1;FRANCE;1970;3
1;FRANCE;1971;4
1;FRANCE;1972;3
1;FRANCE;1973;4
1;FRANCE;1975;4
1;FRANCE;1996;3
1;FRANCE;2010;3
1;FRANCE;XXXX;29
