sexe;preusuel;annais;nombre
1;GWENOLE;1953;3
1;GWENOLE;1955;3
1;GWENOLE;1957;3
1;GWENOLE;1959;4
1;GWENOLE;1960;3
1;GWENOLE;1963;5
1;GWENOLE;1964;6
1;GWENOLE;1966;3
1;GWENOLE;1967;4
1;GWENOLE;1968;4
1;GWENOLE;1969;8
1;GWENOLE;1970;8
1;GWENOLE;1971;5
1;GWENOLE;1972;17
1;GWENOLE;1973;15
1;GWENOLE;1974;15
1;GWENOLE;1975;11
1;GWENOLE;1976;13
1;GWENOLE;1977;23
1;GWENOLE;1978;26
1;GWENOLE;1979;31
1;GWENOLE;1980;32
1;GWENOLE;1981;33
1;GWENOLE;1982;27
1;GWENOLE;1983;7
1;GWENOLE;1984;28
1;GWENOLE;1985;15
1;GWENOLE;1986;21
1;GWENOLE;1987;21
1;GWENOLE;1988;20
1;GWENOLE;1989;19
1;GWENOLE;1990;20
1;GWENOLE;1991;20
1;GWENOLE;1992;15
1;GWENOLE;1993;17
1;GWENOLE;1994;13
1;GWENOLE;1995;15
1;GWENOLE;1996;23
1;GWENOLE;1997;15
1;GWENOLE;1998;17
1;GWENOLE;1999;17
1;GWENOLE;2000;20
1;GWENOLE;2001;21
1;GWENOLE;2002;20
1;GWENOLE;2003;16
1;GWENOLE;2004;19
1;GWENOLE;2005;12
1;GWENOLE;2006;18
1;GWENOLE;2007;8
1;GWENOLE;2008;13
1;GWENOLE;2009;12
1;GWENOLE;2010;9
1;GWENOLE;2011;6
1;GWENOLE;2013;3
1;GWENOLE;2014;4
1;GWENOLE;XXXX;25
