sexe;preusuel;annais;nombre
2;CELINIE;1900;17
2;CELINIE;1901;18
2;CELINIE;1902;25
2;CELINIE;1903;14
2;CELINIE;1904;18
2;CELINIE;1905;16
2;CELINIE;1906;18
2;CELINIE;1907;17
2;CELINIE;1908;10
2;CELINIE;1909;12
2;CELINIE;1910;15
2;CELINIE;1911;6
2;CELINIE;1912;10
2;CELINIE;1913;5
2;CELINIE;1914;6
2;CELINIE;1915;3
2;CELINIE;1916;7
2;CELINIE;1917;3
2;CELINIE;1918;3
2;CELINIE;1919;6
2;CELINIE;1920;12
2;CELINIE;1921;11
2;CELINIE;1922;5
2;CELINIE;1923;6
2;CELINIE;1924;6
2;CELINIE;1925;5
2;CELINIE;1928;3
2;CELINIE;1980;3
2;CELINIE;1994;3
2;CELINIE;2010;5
2;CELINIE;XXXX;45
