sexe;preusuel;annais;nombre
1;GIUSEPPE;1907;4
1;GIUSEPPE;1908;3
1;GIUSEPPE;1913;3
1;GIUSEPPE;1914;4
1;GIUSEPPE;1922;3
1;GIUSEPPE;1923;7
1;GIUSEPPE;1924;7
1;GIUSEPPE;1925;8
1;GIUSEPPE;1926;18
1;GIUSEPPE;1927;13
1;GIUSEPPE;1928;11
1;GIUSEPPE;1929;5
1;GIUSEPPE;1930;8
1;GIUSEPPE;1931;4
1;GIUSEPPE;1932;7
1;GIUSEPPE;1933;5
1;GIUSEPPE;1934;4
1;GIUSEPPE;1938;4
1;GIUSEPPE;1950;9
1;GIUSEPPE;1951;8
1;GIUSEPPE;1952;9
1;GIUSEPPE;1953;14
1;GIUSEPPE;1954;16
1;GIUSEPPE;1955;22
1;GIUSEPPE;1956;22
1;GIUSEPPE;1957;32
1;GIUSEPPE;1958;54
1;GIUSEPPE;1959;77
1;GIUSEPPE;1960;105
1;GIUSEPPE;1961;107
1;GIUSEPPE;1962;107
1;GIUSEPPE;1963;102
1;GIUSEPPE;1964;92
1;GIUSEPPE;1965;98
1;GIUSEPPE;1966;96
1;GIUSEPPE;1967;103
1;GIUSEPPE;1968;80
1;GIUSEPPE;1969;75
1;GIUSEPPE;1970;54
1;GIUSEPPE;1971;61
1;GIUSEPPE;1972;65
1;GIUSEPPE;1973;39
1;GIUSEPPE;1974;35
1;GIUSEPPE;1975;35
1;GIUSEPPE;1976;25
1;GIUSEPPE;1977;21
1;GIUSEPPE;1978;22
1;GIUSEPPE;1979;18
1;GIUSEPPE;1980;26
1;GIUSEPPE;1981;20
1;GIUSEPPE;1982;21
1;GIUSEPPE;1983;14
1;GIUSEPPE;1984;17
1;GIUSEPPE;1985;17
1;GIUSEPPE;1986;21
1;GIUSEPPE;1987;16
1;GIUSEPPE;1988;18
1;GIUSEPPE;1989;12
1;GIUSEPPE;1990;20
1;GIUSEPPE;1991;14
1;GIUSEPPE;1992;11
1;GIUSEPPE;1993;14
1;GIUSEPPE;1994;18
1;GIUSEPPE;1995;16
1;GIUSEPPE;1996;12
1;GIUSEPPE;1997;14
1;GIUSEPPE;1998;9
1;GIUSEPPE;1999;14
1;GIUSEPPE;2000;10
1;GIUSEPPE;2001;16
1;GIUSEPPE;2002;11
1;GIUSEPPE;2003;8
1;GIUSEPPE;2004;18
1;GIUSEPPE;2005;20
1;GIUSEPPE;2006;14
1;GIUSEPPE;2007;14
1;GIUSEPPE;2008;14
1;GIUSEPPE;2009;19
1;GIUSEPPE;2010;13
1;GIUSEPPE;2011;27
1;GIUSEPPE;2012;18
1;GIUSEPPE;2013;12
1;GIUSEPPE;2014;18
1;GIUSEPPE;2015;14
1;GIUSEPPE;2016;18
1;GIUSEPPE;2017;26
1;GIUSEPPE;2018;17
1;GIUSEPPE;2019;18
1;GIUSEPPE;2020;18
1;GIUSEPPE;2021;14
1;GIUSEPPE;2022;24
1;GIUSEPPE;XXXX;26
