sexe;preusuel;annais;nombre
2;ANDREANE;1976;3
2;ANDREANE;1979;4
2;ANDREANE;1990;3
2;ANDREANE;1992;4
2;ANDREANE;1993;5
2;ANDREANE;1994;10
2;ANDREANE;1995;9
2;ANDREANE;1996;4
2;ANDREANE;1997;7
2;ANDREANE;1998;10
2;ANDREANE;1999;12
2;ANDREANE;2000;13
2;ANDREANE;2001;22
2;ANDREANE;2002;8
2;ANDREANE;2003;15
2;ANDREANE;2004;11
2;ANDREANE;2005;11
2;ANDREANE;2006;8
2;ANDREANE;2007;16
2;ANDREANE;2008;5
2;ANDREANE;2009;11
2;ANDREANE;2010;6
2;ANDREANE;2011;3
2;ANDREANE;2012;4
2;ANDREANE;2015;3
2;ANDREANE;XXXX;29
