sexe;preusuel;annais;nombre
1;AUDRAN;1978;3
1;AUDRAN;1982;4
1;AUDRAN;1984;4
1;AUDRAN;1985;5
1;AUDRAN;1987;9
1;AUDRAN;1988;6
1;AUDRAN;1989;6
1;AUDRAN;1991;12
1;AUDRAN;1992;6
1;AUDRAN;1993;8
1;AUDRAN;1994;12
1;AUDRAN;1995;10
1;AUDRAN;1996;16
1;AUDRAN;1997;39
1;AUDRAN;1998;33
1;AUDRAN;1999;54
1;AUDRAN;2000;37
1;AUDRAN;2001;26
1;AUDRAN;2002;20
1;AUDRAN;2003;33
1;AUDRAN;2004;22
1;AUDRAN;2005;19
1;AUDRAN;2006;26
1;AUDRAN;2007;20
1;AUDRAN;2008;26
1;AUDRAN;2009;22
1;AUDRAN;2010;17
1;AUDRAN;2011;10
1;AUDRAN;2012;16
1;AUDRAN;2013;10
1;AUDRAN;2014;11
1;AUDRAN;2015;10
1;AUDRAN;2016;7
1;AUDRAN;2017;8
1;AUDRAN;2018;7
1;AUDRAN;2019;6
1;AUDRAN;2020;3
1;AUDRAN;2021;4
1;AUDRAN;2022;7
1;AUDRAN;XXXX;22
