sexe;preusuel;annais;nombre
1;BILLEL;1980;3
1;BILLEL;1981;8
1;BILLEL;1982;10
1;BILLEL;1983;10
1;BILLEL;1984;15
1;BILLEL;1985;16
1;BILLEL;1986;16
1;BILLEL;1987;24
1;BILLEL;1988;22
1;BILLEL;1989;28
1;BILLEL;1990;36
1;BILLEL;1991;32
1;BILLEL;1992;33
1;BILLEL;1993;41
1;BILLEL;1994;39
1;BILLEL;1995;41
1;BILLEL;1996;62
1;BILLEL;1997;41
1;BILLEL;1998;54
1;BILLEL;1999;61
1;BILLEL;2000;67
1;BILLEL;2001;55
1;BILLEL;2002;47
1;BILLEL;2003;33
1;BILLEL;2004;45
1;BILLEL;2005;44
1;BILLEL;2006;29
1;BILLEL;2007;32
1;BILLEL;2008;35
1;BILLEL;2009;26
1;BILLEL;2010;28
1;BILLEL;2011;29
1;BILLEL;2012;27
1;BILLEL;2013;21
1;BILLEL;2014;19
1;BILLEL;2015;15
1;BILLEL;2016;10
1;BILLEL;2017;15
1;BILLEL;2018;12
1;BILLEL;2019;8
1;BILLEL;2020;7
1;BILLEL;2021;3
1;BILLEL;XXXX;10
