sexe;preusuel;annais;nombre
2;RYME;1978;3
2;RYME;1982;3
2;RYME;1984;3
2;RYME;1986;4
2;RYME;1990;3
2;RYME;1992;3
2;RYME;1993;7
2;RYME;1994;4
2;RYME;1995;6
2;RYME;1996;7
2;RYME;1997;8
2;RYME;1998;9
2;RYME;1999;6
2;RYME;2000;6
2;RYME;2001;8
2;RYME;2002;15
2;RYME;2003;8
2;RYME;2004;8
2;RYME;2005;14
2;RYME;2006;16
2;RYME;2007;18
2;RYME;2008;10
2;RYME;2009;20
2;RYME;2010;14
2;RYME;2011;16
2;RYME;2012;14
2;RYME;2013;14
2;RYME;2014;9
2;RYME;2015;9
2;RYME;2016;15
2;RYME;2017;15
2;RYME;2018;11
2;RYME;2019;8
2;RYME;2020;14
2;RYME;2021;12
2;RYME;2022;6
2;RYME;XXXX;19
