sexe;preusuel;annais;nombre
2;CINTHIA;1950;4
2;CINTHIA;1955;6
2;CINTHIA;1957;3
2;CINTHIA;1961;4
2;CINTHIA;1966;4
2;CINTHIA;1967;7
2;CINTHIA;1968;5
2;CINTHIA;1969;7
2;CINTHIA;1970;16
2;CINTHIA;1971;11
2;CINTHIA;1972;19
2;CINTHIA;1973;20
2;CINTHIA;1974;45
2;CINTHIA;1975;69
2;CINTHIA;1976;56
2;CINTHIA;1977;50
2;CINTHIA;1978;58
2;CINTHIA;1979;42
2;CINTHIA;1980;42
2;CINTHIA;1981;49
2;CINTHIA;1982;58
2;CINTHIA;1983;45
2;CINTHIA;1984;45
2;CINTHIA;1985;57
2;CINTHIA;1986;58
2;CINTHIA;1987;46
2;CINTHIA;1988;39
2;CINTHIA;1989;50
2;CINTHIA;1990;31
2;CINTHIA;1991;26
2;CINTHIA;1992;37
2;CINTHIA;1993;34
2;CINTHIA;1994;37
2;CINTHIA;1995;34
2;CINTHIA;1996;21
2;CINTHIA;1997;25
2;CINTHIA;1998;20
2;CINTHIA;1999;11
2;CINTHIA;2000;12
2;CINTHIA;2001;14
2;CINTHIA;2002;11
2;CINTHIA;2003;9
2;CINTHIA;2004;10
2;CINTHIA;2005;8
2;CINTHIA;2006;4
2;CINTHIA;2007;6
2;CINTHIA;2008;5
2;CINTHIA;2009;4
2;CINTHIA;2010;3
2;CINTHIA;2011;4
2;CINTHIA;2013;4
2;CINTHIA;2017;3
2;CINTHIA;XXXX;27
