sexe;preusuel;annais;nombre
1;DIDIER;1900;25
1;DIDIER;1901;21
1;DIDIER;1902;46
1;DIDIER;1903;42
1;DIDIER;1904;35
1;DIDIER;1905;41
1;DIDIER;1906;42
1;DIDIER;1907;41
1;DIDIER;1908;53
1;DIDIER;1909;59
1;DIDIER;1910;63
1;DIDIER;1911;71
1;DIDIER;1912;60
1;DIDIER;1913;61
1;DIDIER;1914;63
1;DIDIER;1915;32
1;DIDIER;1916;32
1;DIDIER;1917;46
1;DIDIER;1918;46
1;DIDIER;1919;48
1;DIDIER;1920;71
1;DIDIER;1921;90
1;DIDIER;1922;96
1;DIDIER;1923;110
1;DIDIER;1924;117
1;DIDIER;1925;132
1;DIDIER;1926;91
1;DIDIER;1927;89
1;DIDIER;1928;153
1;DIDIER;1929;165
1;DIDIER;1930;149
1;DIDIER;1931;173
1;DIDIER;1932;222
1;DIDIER;1933;187
1;DIDIER;1934;204
1;DIDIER;1935;209
1;DIDIER;1936;216
1;DIDIER;1937;187
1;DIDIER;1938;183
1;DIDIER;1939;243
1;DIDIER;1940;182
1;DIDIER;1941;272
1;DIDIER;1942;351
1;DIDIER;1943;496
1;DIDIER;1944;632
1;DIDIER;1945;707
1;DIDIER;1946;1280
1;DIDIER;1947;1811
1;DIDIER;1948;1920
1;DIDIER;1949;2387
1;DIDIER;1950;3566
1;DIDIER;1951;4283
1;DIDIER;1952;5289
1;DIDIER;1953;6280
1;DIDIER;1954;8333
1;DIDIER;1955;8794
1;DIDIER;1956;9597
1;DIDIER;1957;11338
1;DIDIER;1958;13720
1;DIDIER;1959;13335
1;DIDIER;1960;10766
1;DIDIER;1961;12840
1;DIDIER;1962;13361
1;DIDIER;1963;11504
1;DIDIER;1964;12315
1;DIDIER;1965;11542
1;DIDIER;1966;10548
1;DIDIER;1967;9159
1;DIDIER;1968;6739
1;DIDIER;1969;6781
1;DIDIER;1970;5853
1;DIDIER;1971;4988
1;DIDIER;1972;3854
1;DIDIER;1973;3119
1;DIDIER;1974;1882
1;DIDIER;1975;1754
1;DIDIER;1976;1383
1;DIDIER;1977;1229
1;DIDIER;1978;1123
1;DIDIER;1979;959
1;DIDIER;1980;956
1;DIDIER;1981;802
1;DIDIER;1982;738
1;DIDIER;1983;637
1;DIDIER;1984;529
1;DIDIER;1985;451
1;DIDIER;1986;411
1;DIDIER;1987;314
1;DIDIER;1988;284
1;DIDIER;1989;262
1;DIDIER;1990;240
1;DIDIER;1991;187
1;DIDIER;1992;153
1;DIDIER;1993;130
1;DIDIER;1994;116
1;DIDIER;1995;97
1;DIDIER;1996;75
1;DIDIER;1997;68
1;DIDIER;1998;58
1;DIDIER;1999;49
1;DIDIER;2000;40
1;DIDIER;2001;34
1;DIDIER;2002;24
1;DIDIER;2003;33
1;DIDIER;2004;26
1;DIDIER;2005;27
1;DIDIER;2006;8
1;DIDIER;2007;15
1;DIDIER;2008;16
1;DIDIER;2009;16
1;DIDIER;2010;7
1;DIDIER;2011;6
1;DIDIER;2012;7
1;DIDIER;2013;10
1;DIDIER;2014;9
1;DIDIER;2015;10
1;DIDIER;2016;9
1;DIDIER;2017;4
1;DIDIER;2018;4
1;DIDIER;2019;4
1;DIDIER;2020;9
1;DIDIER;2021;3
1;DIDIER;2022;8
