sexe;preusuel;annais;nombre
1;VALÉRIAN;1975;3
1;VALÉRIAN;1977;4
1;VALÉRIAN;1978;4
1;VALÉRIAN;1980;4
1;VALÉRIAN;1981;9
1;VALÉRIAN;1982;3
1;VALÉRIAN;1983;11
1;VALÉRIAN;1984;8
1;VALÉRIAN;1985;9
1;VALÉRIAN;1986;12
1;VALÉRIAN;1987;13
1;VALÉRIAN;1988;9
1;VALÉRIAN;1989;3
1;VALÉRIAN;1990;5
1;VALÉRIAN;1991;10
1;VALÉRIAN;1992;9
1;VALÉRIAN;1993;11
1;VALÉRIAN;1994;5
1;VALÉRIAN;1995;14
1;VALÉRIAN;1996;22
1;VALÉRIAN;1997;24
1;VALÉRIAN;1998;21
1;VALÉRIAN;2010;15
1;VALÉRIAN;2011;31
1;VALÉRIAN;2012;43
1;VALÉRIAN;2013;31
1;VALÉRIAN;2014;24
1;VALÉRIAN;2015;29
1;VALÉRIAN;2016;41
1;VALÉRIAN;2017;33
1;VALÉRIAN;2018;53
1;VALÉRIAN;2019;74
1;VALÉRIAN;2020;57
1;VALÉRIAN;2021;62
1;VALÉRIAN;2022;60
1;VALÉRIAN;XXXX;11
