sexe;preusuel;annais;nombre
2;ANNAIG;1951;4
2;ANNAIG;1955;3
2;ANNAIG;1957;4
2;ANNAIG;1959;3
2;ANNAIG;1960;4
2;ANNAIG;1961;4
2;ANNAIG;1962;3
2;ANNAIG;1963;10
2;ANNAIG;1964;16
2;ANNAIG;1965;11
2;ANNAIG;1966;10
2;ANNAIG;1967;8
2;ANNAIG;1968;9
2;ANNAIG;1969;17
2;ANNAIG;1970;30
2;ANNAIG;1971;21
2;ANNAIG;1972;26
2;ANNAIG;1973;50
2;ANNAIG;1974;44
2;ANNAIG;1975;41
2;ANNAIG;1976;38
2;ANNAIG;1977;40
2;ANNAIG;1978;40
2;ANNAIG;1979;24
2;ANNAIG;1980;28
2;ANNAIG;1981;29
2;ANNAIG;1982;22
2;ANNAIG;1983;14
2;ANNAIG;1984;8
2;ANNAIG;1985;19
2;ANNAIG;1986;11
2;ANNAIG;1987;16
2;ANNAIG;1988;16
2;ANNAIG;1989;16
2;ANNAIG;1990;7
2;ANNAIG;1991;10
2;ANNAIG;1992;12
2;ANNAIG;1993;5
2;ANNAIG;1994;11
2;ANNAIG;1995;10
2;ANNAIG;1996;7
2;ANNAIG;1997;7
2;ANNAIG;1998;15
2;ANNAIG;1999;10
2;ANNAIG;2000;10
2;ANNAIG;2001;13
2;ANNAIG;2002;14
2;ANNAIG;2003;13
2;ANNAIG;2004;8
2;ANNAIG;2005;9
2;ANNAIG;2006;10
2;ANNAIG;2007;12
2;ANNAIG;2008;7
2;ANNAIG;2009;6
2;ANNAIG;2010;7
2;ANNAIG;2012;4
2;ANNAIG;XXXX;15
