sexe;preusuel;annais;nombre
1;FRANCO;1915;3
1;FRANCO;1917;3
1;FRANCO;1922;6
1;FRANCO;1923;9
1;FRANCO;1924;20
1;FRANCO;1925;23
1;FRANCO;1926;25
1;FRANCO;1927;19
1;FRANCO;1928;16
1;FRANCO;1929;23
1;FRANCO;1930;22
1;FRANCO;1931;18
1;FRANCO;1932;24
1;FRANCO;1933;13
1;FRANCO;1934;23
1;FRANCO;1935;23
1;FRANCO;1936;12
1;FRANCO;1937;17
1;FRANCO;1938;11
1;FRANCO;1939;5
1;FRANCO;1940;13
1;FRANCO;1941;5
1;FRANCO;1942;11
1;FRANCO;1943;7
1;FRANCO;1944;4
1;FRANCO;1945;8
1;FRANCO;1946;6
1;FRANCO;1947;9
1;FRANCO;1948;16
1;FRANCO;1949;16
1;FRANCO;1950;30
1;FRANCO;1951;33
1;FRANCO;1952;55
1;FRANCO;1953;55
1;FRANCO;1954;37
1;FRANCO;1955;44
1;FRANCO;1956;37
1;FRANCO;1957;55
1;FRANCO;1958;79
1;FRANCO;1959;102
1;FRANCO;1960;112
1;FRANCO;1961;128
1;FRANCO;1962;103
1;FRANCO;1963;129
1;FRANCO;1964;96
1;FRANCO;1965;121
1;FRANCO;1966;77
1;FRANCO;1967;73
1;FRANCO;1968;76
1;FRANCO;1969;54
1;FRANCO;1970;60
1;FRANCO;1971;33
1;FRANCO;1972;41
1;FRANCO;1973;30
1;FRANCO;1974;23
1;FRANCO;1975;26
1;FRANCO;1976;17
1;FRANCO;1977;8
1;FRANCO;1978;11
1;FRANCO;1979;10
1;FRANCO;1980;15
1;FRANCO;1981;6
1;FRANCO;1982;10
1;FRANCO;1984;9
1;FRANCO;1985;5
1;FRANCO;1986;6
1;FRANCO;1987;3
1;FRANCO;1988;10
1;FRANCO;1989;3
1;FRANCO;1990;4
1;FRANCO;1992;7
1;FRANCO;1993;11
1;FRANCO;1994;6
1;FRANCO;1996;5
1;FRANCO;1997;5
1;FRANCO;1998;10
1;FRANCO;1999;6
1;FRANCO;2000;4
1;FRANCO;2002;5
1;FRANCO;2004;4
1;FRANCO;2005;4
1;FRANCO;2006;7
1;FRANCO;2008;5
1;FRANCO;2011;5
1;FRANCO;2012;3
1;FRANCO;2014;5
1;FRANCO;2015;4
1;FRANCO;2016;5
1;FRANCO;2017;6
1;FRANCO;2019;4
1;FRANCO;2020;6
1;FRANCO;2021;7
1;FRANCO;XXXX;32
