sexe;preusuel;annais;nombre
1;JURGEN;1941;7
1;JURGEN;1942;18
1;JURGEN;1943;29
1;JURGEN;1944;21
1;JURGEN;1949;5
1;JURGEN;1950;6
1;JURGEN;1951;9
1;JURGEN;1952;3
1;JURGEN;1953;3
1;JURGEN;1954;4
1;JURGEN;1961;3
1;JURGEN;1962;4
1;JURGEN;1966;4
1;JURGEN;1969;3
1;JURGEN;1971;4
1;JURGEN;1975;3
1;JURGEN;1976;8
1;JURGEN;1979;3
1;JURGEN;1980;4
1;JURGEN;1981;5
1;JURGEN;1982;3
1;JURGEN;1985;5
1;JURGEN;1986;3
1;JURGEN;1988;6
1;JURGEN;1989;7
1;JURGEN;1990;5
1;JURGEN;1991;4
1;JURGEN;1992;8
1;JURGEN;1993;5
1;JURGEN;1994;7
1;JURGEN;1995;4
1;JURGEN;1996;7
1;JURGEN;1997;8
1;JURGEN;1998;4
1;JURGEN;1999;6
1;JURGEN;2000;3
1;JURGEN;2001;7
1;JURGEN;2002;3
1;JURGEN;2003;8
1;JURGEN;2004;13
1;JURGEN;2005;7
1;JURGEN;2007;4
1;JURGEN;2008;3
1;JURGEN;2010;6
1;JURGEN;2014;4
1;JURGEN;XXXX;55
