sexe;preusuel;annais;nombre
2;MARIE-AUDE;1946;8
2;MARIE-AUDE;1947;6
2;MARIE-AUDE;1948;12
2;MARIE-AUDE;1949;7
2;MARIE-AUDE;1950;6
2;MARIE-AUDE;1951;5
2;MARIE-AUDE;1952;7
2;MARIE-AUDE;1953;13
2;MARIE-AUDE;1954;13
2;MARIE-AUDE;1955;8
2;MARIE-AUDE;1956;13
2;MARIE-AUDE;1957;14
2;MARIE-AUDE;1958;28
2;MARIE-AUDE;1959;15
2;MARIE-AUDE;1960;25
2;MARIE-AUDE;1961;26
2;MARIE-AUDE;1962;24
2;MARIE-AUDE;1963;37
2;MARIE-AUDE;1964;28
2;MARIE-AUDE;1965;41
2;MARIE-AUDE;1966;33
2;MARIE-AUDE;1967;27
2;MARIE-AUDE;1968;37
2;MARIE-AUDE;1969;32
2;MARIE-AUDE;1970;47
2;MARIE-AUDE;1971;36
2;MARIE-AUDE;1972;50
2;MARIE-AUDE;1973;57
2;MARIE-AUDE;1974;42
2;MARIE-AUDE;1975;80
2;MARIE-AUDE;1976;85
2;MARIE-AUDE;1977;121
2;MARIE-AUDE;1978;86
2;MARIE-AUDE;1979;77
2;MARIE-AUDE;1980;93
2;MARIE-AUDE;1981;80
2;MARIE-AUDE;1982;82
2;MARIE-AUDE;1983;61
2;MARIE-AUDE;1984;61
2;MARIE-AUDE;1985;52
2;MARIE-AUDE;1986;57
2;MARIE-AUDE;1987;47
2;MARIE-AUDE;1988;43
2;MARIE-AUDE;1989;20
2;MARIE-AUDE;1990;23
2;MARIE-AUDE;1991;24
2;MARIE-AUDE;1992;22
2;MARIE-AUDE;1993;17
2;MARIE-AUDE;1994;13
2;MARIE-AUDE;1995;13
2;MARIE-AUDE;1996;9
2;MARIE-AUDE;1997;8
2;MARIE-AUDE;1998;8
2;MARIE-AUDE;1999;5
2;MARIE-AUDE;2000;3
2;MARIE-AUDE;2001;4
2;MARIE-AUDE;2002;3
2;MARIE-AUDE;2003;3
2;MARIE-AUDE;XXXX;15
