sexe;preusuel;annais;nombre
2;MAEVA;1960;4
2;MAEVA;1961;6
2;MAEVA;1968;4
2;MAEVA;1970;8
2;MAEVA;1971;10
2;MAEVA;1972;12
2;MAEVA;1973;13
2;MAEVA;1974;15
2;MAEVA;1975;13
2;MAEVA;1976;28
2;MAEVA;1977;48
2;MAEVA;1978;48
2;MAEVA;1979;51
2;MAEVA;1980;96
2;MAEVA;1981;119
2;MAEVA;1982;157
2;MAEVA;1983;191
2;MAEVA;1984;239
2;MAEVA;1985;364
2;MAEVA;1986;509
2;MAEVA;1987;629
2;MAEVA;1988;871
2;MAEVA;1989;1005
2;MAEVA;1990;1170
2;MAEVA;1991;1574
2;MAEVA;1992;1793
2;MAEVA;1993;1606
2;MAEVA;1994;1852
2;MAEVA;1995;1853
2;MAEVA;1996;1777
2;MAEVA;1997;1752
2;MAEVA;1998;1794
2;MAEVA;1999;2614
2;MAEVA;2000;3059
2;MAEVA;2001;3238
2;MAEVA;2002;3024
2;MAEVA;2003;2536
2;MAEVA;2004;2225
2;MAEVA;2005;2055
2;MAEVA;2006;2240
2;MAEVA;2007;1836
2;MAEVA;2008;1742
2;MAEVA;2009;1361
2;MAEVA;2010;1011
2;MAEVA;2011;587
2;MAEVA;2012;374
2;MAEVA;2013;268
2;MAEVA;2014;245
2;MAEVA;2015;216
2;MAEVA;2016;209
2;MAEVA;2017;173
2;MAEVA;2018;146
2;MAEVA;2019;112
2;MAEVA;2020;112
2;MAEVA;2021;109
2;MAEVA;2022;83
2;MAEVA;XXXX;25
