sexe;preusuel;annais;nombre
2;GWENDELINE;1975;3
2;GWENDELINE;1980;3
2;GWENDELINE;1982;5
2;GWENDELINE;1985;7
2;GWENDELINE;1989;3
2;GWENDELINE;1990;3
2;GWENDELINE;1992;5
2;GWENDELINE;1993;8
2;GWENDELINE;1994;10
2;GWENDELINE;1995;10
2;GWENDELINE;1996;13
2;GWENDELINE;1997;9
2;GWENDELINE;1998;8
2;GWENDELINE;1999;14
2;GWENDELINE;2000;14
2;GWENDELINE;2001;10
2;GWENDELINE;2002;8
2;GWENDELINE;2003;5
2;GWENDELINE;2005;5
2;GWENDELINE;2006;5
2;GWENDELINE;2007;8
2;GWENDELINE;2008;6
2;GWENDELINE;2009;4
2;GWENDELINE;2010;4
2;GWENDELINE;2011;4
2;GWENDELINE;XXXX;28
