sexe;preusuel;annais;nombre
2;SALOUA;1960;5
2;SALOUA;1964;6
2;SALOUA;1965;5
2;SALOUA;1967;4
2;SALOUA;1968;10
2;SALOUA;1969;12
2;SALOUA;1970;6
2;SALOUA;1971;12
2;SALOUA;1972;7
2;SALOUA;1973;21
2;SALOUA;1974;24
2;SALOUA;1975;18
2;SALOUA;1976;24
2;SALOUA;1977;53
2;SALOUA;1978;39
2;SALOUA;1979;34
2;SALOUA;1980;41
2;SALOUA;1981;47
2;SALOUA;1982;42
2;SALOUA;1983;53
2;SALOUA;1984;36
2;SALOUA;1985;34
2;SALOUA;1986;32
2;SALOUA;1987;28
2;SALOUA;1988;26
2;SALOUA;1989;34
2;SALOUA;1990;27
2;SALOUA;1991;32
2;SALOUA;1992;21
2;SALOUA;1993;19
2;SALOUA;1994;11
2;SALOUA;1995;21
2;SALOUA;1996;19
2;SALOUA;1997;16
2;SALOUA;1998;19
2;SALOUA;1999;14
2;SALOUA;2000;9
2;SALOUA;2001;14
2;SALOUA;2002;9
2;SALOUA;2003;16
2;SALOUA;2004;10
2;SALOUA;2005;9
2;SALOUA;2006;9
2;SALOUA;2007;13
2;SALOUA;2008;11
2;SALOUA;2009;9
2;SALOUA;2010;11
2;SALOUA;2011;8
2;SALOUA;2012;7
2;SALOUA;2013;10
2;SALOUA;2014;6
2;SALOUA;2015;4
2;SALOUA;2016;12
2;SALOUA;2017;6
2;SALOUA;2018;3
2;SALOUA;2019;6
2;SALOUA;2020;5
2;SALOUA;2021;5
2;SALOUA;XXXX;8
