sexe;preusuel;annais;nombre
2;ANNE-YVONNE;1947;5
2;ANNE-YVONNE;1948;4
2;ANNE-YVONNE;1949;8
2;ANNE-YVONNE;1951;5
2;ANNE-YVONNE;1952;3
2;ANNE-YVONNE;1953;7
2;ANNE-YVONNE;1954;7
2;ANNE-YVONNE;1955;12
2;ANNE-YVONNE;1956;6
2;ANNE-YVONNE;1957;6
2;ANNE-YVONNE;1958;9
2;ANNE-YVONNE;1959;11
2;ANNE-YVONNE;1960;17
2;ANNE-YVONNE;1961;18
2;ANNE-YVONNE;1962;13
2;ANNE-YVONNE;1963;15
2;ANNE-YVONNE;1964;7
2;ANNE-YVONNE;1965;16
2;ANNE-YVONNE;1966;13
2;ANNE-YVONNE;1967;21
2;ANNE-YVONNE;1968;14
2;ANNE-YVONNE;1970;7
2;ANNE-YVONNE;1971;5
2;ANNE-YVONNE;1972;6
2;ANNE-YVONNE;1973;5
2;ANNE-YVONNE;1974;9
2;ANNE-YVONNE;1975;8
2;ANNE-YVONNE;1976;5
2;ANNE-YVONNE;1977;3
2;ANNE-YVONNE;1978;4
2;ANNE-YVONNE;1980;4
2;ANNE-YVONNE;XXXX;14
