sexe;preusuel;annais;nombre
1;YANICK;1933;4
1;YANICK;1935;4
1;YANICK;1937;7
1;YANICK;1938;4
1;YANICK;1939;7
1;YANICK;1940;10
1;YANICK;1941;8
1;YANICK;1942;7
1;YANICK;1943;10
1;YANICK;1944;15
1;YANICK;1945;17
1;YANICK;1946;38
1;YANICK;1947;32
1;YANICK;1948;37
1;YANICK;1949;48
1;YANICK;1950;63
1;YANICK;1951;60
1;YANICK;1952;73
1;YANICK;1953;83
1;YANICK;1954;60
1;YANICK;1955;68
1;YANICK;1956;61
1;YANICK;1957;67
1;YANICK;1958;58
1;YANICK;1959;74
1;YANICK;1960;74
1;YANICK;1961;81
1;YANICK;1962;74
1;YANICK;1963;82
1;YANICK;1964;64
1;YANICK;1965;56
1;YANICK;1966;59
1;YANICK;1967;76
1;YANICK;1968;69
1;YANICK;1969;87
1;YANICK;1970;91
1;YANICK;1971;66
1;YANICK;1972;70
1;YANICK;1973;74
1;YANICK;1974;50
1;YANICK;1975;35
1;YANICK;1976;37
1;YANICK;1977;37
1;YANICK;1978;29
1;YANICK;1979;35
1;YANICK;1980;23
1;YANICK;1981;25
1;YANICK;1982;15
1;YANICK;1983;21
1;YANICK;1984;17
1;YANICK;1985;11
1;YANICK;1986;11
1;YANICK;1987;7
1;YANICK;1988;10
1;YANICK;1989;15
1;YANICK;1990;9
1;YANICK;1991;9
1;YANICK;1992;7
1;YANICK;1993;4
1;YANICK;1994;6
1;YANICK;1995;6
1;YANICK;1996;6
1;YANICK;1997;4
1;YANICK;1998;7
1;YANICK;1999;5
1;YANICK;2000;9
1;YANICK;2001;4
1;YANICK;2002;10
1;YANICK;2003;9
1;YANICK;2004;4
1;YANICK;2005;6
1;YANICK;2006;6
1;YANICK;2007;6
1;YANICK;2009;4
1;YANICK;2010;12
1;YANICK;2011;7
1;YANICK;2012;5
1;YANICK;2013;6
1;YANICK;2014;5
1;YANICK;2015;4
1;YANICK;2016;13
1;YANICK;2017;9
1;YANICK;2018;6
1;YANICK;2019;5
1;YANICK;2020;8
1;YANICK;2021;10
1;YANICK;2022;8
1;YANICK;XXXX;11
