sexe;preusuel;annais;nombre
1;LYES;1970;7
1;LYES;1971;3
1;LYES;1973;7
1;LYES;1974;8
1;LYES;1975;9
1;LYES;1976;18
1;LYES;1977;13
1;LYES;1978;14
1;LYES;1979;11
1;LYES;1980;9
1;LYES;1981;17
1;LYES;1982;23
1;LYES;1983;22
1;LYES;1984;24
1;LYES;1985;23
1;LYES;1986;29
1;LYES;1987;30
1;LYES;1988;41
1;LYES;1989;36
1;LYES;1990;36
1;LYES;1991;55
1;LYES;1992;45
1;LYES;1993;53
1;LYES;1994;53
1;LYES;1995;51
1;LYES;1996;40
1;LYES;1997;61
1;LYES;1998;58
1;LYES;1999;73
1;LYES;2000;62
1;LYES;2001;79
1;LYES;2002;84
1;LYES;2003;65
1;LYES;2004;70
1;LYES;2005;59
1;LYES;2006;79
1;LYES;2007;63
1;LYES;2008;68
1;LYES;2009;76
1;LYES;2010;74
1;LYES;2011;72
1;LYES;2012;79
1;LYES;2013;63
1;LYES;2014;79
1;LYES;2015;60
1;LYES;2016;65
1;LYES;2017;64
1;LYES;2018;69
1;LYES;2019;60
1;LYES;2020;42
1;LYES;2021;45
1;LYES;2022;37
1;LYES;XXXX;13
