sexe;preusuel;annais;nombre
1;ZIDANE;1965;3
1;ZIDANE;1968;5
1;ZIDANE;1971;7
1;ZIDANE;1972;4
1;ZIDANE;1986;3
1;ZIDANE;1988;3
1;ZIDANE;1990;3
1;ZIDANE;1991;4
1;ZIDANE;1993;3
1;ZIDANE;1994;5
1;ZIDANE;1995;6
1;ZIDANE;1996;11
1;ZIDANE;1997;18
1;ZIDANE;1998;61
1;ZIDANE;1999;49
1;ZIDANE;2000;28
1;ZIDANE;2001;15
1;ZIDANE;2002;23
1;ZIDANE;2003;12
1;ZIDANE;2004;15
1;ZIDANE;2005;14
1;ZIDANE;2006;26
1;ZIDANE;2007;5
1;ZIDANE;2008;11
1;ZIDANE;2009;5
1;ZIDANE;2010;8
1;ZIDANE;2011;8
1;ZIDANE;2012;5
1;ZIDANE;2013;9
1;ZIDANE;2014;15
1;ZIDANE;2015;9
1;ZIDANE;2016;8
1;ZIDANE;2017;7
1;ZIDANE;2018;7
1;ZIDANE;2019;6
1;ZIDANE;2020;5
1;ZIDANE;2021;8
1;ZIDANE;2022;8
1;ZIDANE;XXXX;31
