sexe;preusuel;annais;nombre
2;RYM;1974;4
2;RYM;1975;7
2;RYM;1977;6
2;RYM;1978;8
2;RYM;1979;5
2;RYM;1980;12
2;RYM;1981;7
2;RYM;1982;10
2;RYM;1983;11
2;RYM;1984;10
2;RYM;1985;12
2;RYM;1986;13
2;RYM;1987;5
2;RYM;1988;7
2;RYM;1989;11
2;RYM;1990;15
2;RYM;1991;16
2;RYM;1992;13
2;RYM;1993;10
2;RYM;1994;10
2;RYM;1995;16
2;RYM;1996;14
2;RYM;1997;21
2;RYM;1998;17
2;RYM;1999;19
2;RYM;2000;22
2;RYM;2001;24
2;RYM;2002;21
2;RYM;2003;20
2;RYM;2004;30
2;RYM;2005;31
2;RYM;2006;28
2;RYM;2007;32
2;RYM;2008;34
2;RYM;2009;56
2;RYM;2010;57
2;RYM;2011;55
2;RYM;2012;76
2;RYM;2013;51
2;RYM;2014;76
2;RYM;2015;63
2;RYM;2016;62
2;RYM;2017;72
2;RYM;2018;70
2;RYM;2019;64
2;RYM;2020;227
2;RYM;2021;265
2;RYM;2022;273
2;RYM;XXXX;9
