sexe;preusuel;annais;nombre
2;MARIE-CHRISTIANE;1926;4
2;MARIE-CHRISTIANE;1927;3
2;MARIE-CHRISTIANE;1928;4
2;MARIE-CHRISTIANE;1929;4
2;MARIE-CHRISTIANE;1931;4
2;MARIE-CHRISTIANE;1932;4
2;MARIE-CHRISTIANE;1933;3
2;MARIE-CHRISTIANE;1935;12
2;MARIE-CHRISTIANE;1937;3
2;MARIE-CHRISTIANE;1939;8
2;MARIE-CHRISTIANE;1940;4
2;MARIE-CHRISTIANE;1942;5
2;MARIE-CHRISTIANE;1943;4
2;MARIE-CHRISTIANE;1944;13
2;MARIE-CHRISTIANE;1945;3
2;MARIE-CHRISTIANE;1946;22
2;MARIE-CHRISTIANE;1947;30
2;MARIE-CHRISTIANE;1948;27
2;MARIE-CHRISTIANE;1949;41
2;MARIE-CHRISTIANE;1950;29
2;MARIE-CHRISTIANE;1951;35
2;MARIE-CHRISTIANE;1952;25
2;MARIE-CHRISTIANE;1953;37
2;MARIE-CHRISTIANE;1954;37
2;MARIE-CHRISTIANE;1955;34
2;MARIE-CHRISTIANE;1956;21
2;MARIE-CHRISTIANE;1957;26
2;MARIE-CHRISTIANE;1958;28
2;MARIE-CHRISTIANE;1959;11
2;MARIE-CHRISTIANE;1960;15
2;MARIE-CHRISTIANE;1961;24
2;MARIE-CHRISTIANE;1962;12
2;MARIE-CHRISTIANE;1963;12
2;MARIE-CHRISTIANE;1964;15
2;MARIE-CHRISTIANE;1965;6
2;MARIE-CHRISTIANE;1966;11
2;MARIE-CHRISTIANE;1967;7
2;MARIE-CHRISTIANE;1968;4
2;MARIE-CHRISTIANE;1969;5
2;MARIE-CHRISTIANE;1970;5
2;MARIE-CHRISTIANE;1973;4
2;MARIE-CHRISTIANE;1974;3
2;MARIE-CHRISTIANE;1978;3
2;MARIE-CHRISTIANE;1981;3
2;MARIE-CHRISTIANE;2008;4
2;MARIE-CHRISTIANE;XXXX;44
