sexe;preusuel;annais;nombre
2;ERINE;1994;4
2;ERINE;1995;34
2;ERINE;1996;14
2;ERINE;1997;19
2;ERINE;1998;37
2;ERINE;1999;52
2;ERINE;2000;63
2;ERINE;2001;89
2;ERINE;2002;153
2;ERINE;2003;177
2;ERINE;2004;217
2;ERINE;2005;204
2;ERINE;2006;204
2;ERINE;2007;259
2;ERINE;2008;277
2;ERINE;2009;235
2;ERINE;2010;195
2;ERINE;2011;154
2;ERINE;2012;166
2;ERINE;2013;112
2;ERINE;2014;89
2;ERINE;2015;91
2;ERINE;2016;78
2;ERINE;2017;66
2;ERINE;2018;44
2;ERINE;2019;44
2;ERINE;2020;32
2;ERINE;2021;31
2;ERINE;2022;23
2;ERINE;XXXX;5
