sexe;preusuel;annais;nombre
1;AUBIN;1900;33
1;AUBIN;1901;26
1;AUBIN;1902;33
1;AUBIN;1903;17
1;AUBIN;1904;36
1;AUBIN;1905;20
1;AUBIN;1906;24
1;AUBIN;1907;21
1;AUBIN;1908;23
1;AUBIN;1909;37
1;AUBIN;1910;24
1;AUBIN;1911;20
1;AUBIN;1912;27
1;AUBIN;1913;34
1;AUBIN;1914;13
1;AUBIN;1915;17
1;AUBIN;1916;26
1;AUBIN;1917;19
1;AUBIN;1918;15
1;AUBIN;1919;17
1;AUBIN;1920;28
1;AUBIN;1921;27
1;AUBIN;1922;12
1;AUBIN;1923;18
1;AUBIN;1924;27
1;AUBIN;1925;11
1;AUBIN;1926;17
1;AUBIN;1927;14
1;AUBIN;1928;19
1;AUBIN;1929;21
1;AUBIN;1930;7
1;AUBIN;1931;8
1;AUBIN;1932;8
1;AUBIN;1933;6
1;AUBIN;1934;23
1;AUBIN;1935;12
1;AUBIN;1936;7
1;AUBIN;1937;16
1;AUBIN;1938;6
1;AUBIN;1939;19
1;AUBIN;1940;8
1;AUBIN;1941;10
1;AUBIN;1942;5
1;AUBIN;1943;6
1;AUBIN;1944;6
1;AUBIN;1945;10
1;AUBIN;1946;18
1;AUBIN;1947;14
1;AUBIN;1948;12
1;AUBIN;1950;7
1;AUBIN;1951;5
1;AUBIN;1952;13
1;AUBIN;1953;5
1;AUBIN;1954;14
1;AUBIN;1955;9
1;AUBIN;1956;8
1;AUBIN;1957;5
1;AUBIN;1958;6
1;AUBIN;1959;3
1;AUBIN;1961;6
1;AUBIN;1962;6
1;AUBIN;1963;8
1;AUBIN;1965;8
1;AUBIN;1966;15
1;AUBIN;1967;7
1;AUBIN;1968;3
1;AUBIN;1969;5
1;AUBIN;1971;6
1;AUBIN;1972;7
1;AUBIN;1973;3
1;AUBIN;1974;7
1;AUBIN;1975;12
1;AUBIN;1976;10
1;AUBIN;1977;16
1;AUBIN;1978;15
1;AUBIN;1979;8
1;AUBIN;1980;19
1;AUBIN;1981;14
1;AUBIN;1982;14
1;AUBIN;1983;20
1;AUBIN;1984;15
1;AUBIN;1985;23
1;AUBIN;1986;27
1;AUBIN;1987;16
1;AUBIN;1988;26
1;AUBIN;1989;24
1;AUBIN;1990;37
1;AUBIN;1991;31
1;AUBIN;1992;23
1;AUBIN;1993;47
1;AUBIN;1994;55
1;AUBIN;1995;71
1;AUBIN;1996;321
1;AUBIN;1997;198
1;AUBIN;1998;148
1;AUBIN;1999;128
1;AUBIN;2000;152
1;AUBIN;2001;160
1;AUBIN;2002;163
1;AUBIN;2003;147
1;AUBIN;2004;166
1;AUBIN;2005;203
1;AUBIN;2006;176
1;AUBIN;2007;217
1;AUBIN;2008;216
1;AUBIN;2009;203
1;AUBIN;2010;224
1;AUBIN;2011;229
1;AUBIN;2012;201
1;AUBIN;2013;199
1;AUBIN;2014;208
1;AUBIN;2015;269
1;AUBIN;2016;261
1;AUBIN;2017;215
1;AUBIN;2018;240
1;AUBIN;2019;239
1;AUBIN;2020;250
1;AUBIN;2021;296
1;AUBIN;2022;249
1;AUBIN;XXXX;2
