sexe;preusuel;annais;nombre
2;GALA;1984;3
2;GALA;1985;5
2;GALA;1987;5
2;GALA;1988;4
2;GALA;1990;4
2;GALA;1991;8
2;GALA;1993;8
2;GALA;1994;11
2;GALA;1995;6
2;GALA;1996;6
2;GALA;1997;7
2;GALA;1998;4
2;GALA;2000;5
2;GALA;2001;6
2;GALA;2002;8
2;GALA;2003;7
2;GALA;2004;9
2;GALA;2006;10
2;GALA;2008;6
2;GALA;2009;3
2;GALA;2010;7
2;GALA;2011;7
2;GALA;2012;5
2;GALA;2013;6
2;GALA;2014;4
2;GALA;2015;8
2;GALA;2016;9
2;GALA;2017;9
2;GALA;2018;9
2;GALA;2019;9
2;GALA;2020;12
2;GALA;2021;7
2;GALA;2022;9
2;GALA;XXXX;25
