sexe;preusuel;annais;nombre
1;REZA;1961;6
1;REZA;1962;6
1;REZA;1963;6
1;REZA;1964;8
1;REZA;1965;8
1;REZA;1966;3
1;REZA;1967;11
1;REZA;1968;9
1;REZA;1969;3
1;REZA;1970;7
1;REZA;1971;9
1;REZA;1972;9
1;REZA;1973;9
1;REZA;1974;8
1;REZA;1975;7
1;REZA;1976;4
1;REZA;1977;5
1;REZA;1978;8
1;REZA;1979;6
1;REZA;1980;3
1;REZA;1981;5
1;REZA;1982;8
1;REZA;1983;3
1;REZA;1984;6
1;REZA;1985;6
1;REZA;1986;6
1;REZA;1987;3
1;REZA;1988;3
1;REZA;1990;4
1;REZA;1991;3
1;REZA;1992;5
1;REZA;1993;3
1;REZA;1995;3
1;REZA;1997;3
1;REZA;1998;3
1;REZA;2000;5
1;REZA;2001;3
1;REZA;2004;6
1;REZA;2005;4
1;REZA;2007;4
1;REZA;2009;4
1;REZA;2011;3
1;REZA;2013;5
1;REZA;2021;3
1;REZA;XXXX;25
