sexe;preusuel;annais;nombre
2;CATHIA;1954;3
2;CATHIA;1955;3
2;CATHIA;1956;4
2;CATHIA;1957;8
2;CATHIA;1958;12
2;CATHIA;1959;15
2;CATHIA;1960;14
2;CATHIA;1961;18
2;CATHIA;1962;28
2;CATHIA;1963;36
2;CATHIA;1964;31
2;CATHIA;1965;43
2;CATHIA;1966;58
2;CATHIA;1967;39
2;CATHIA;1968;30
2;CATHIA;1969;59
2;CATHIA;1970;96
2;CATHIA;1971;93
2;CATHIA;1972;100
2;CATHIA;1973;77
2;CATHIA;1974;68
2;CATHIA;1975;68
2;CATHIA;1976;63
2;CATHIA;1977;59
2;CATHIA;1978;51
2;CATHIA;1979;49
2;CATHIA;1980;53
2;CATHIA;1981;43
2;CATHIA;1982;44
2;CATHIA;1983;30
2;CATHIA;1984;26
2;CATHIA;1985;25
2;CATHIA;1986;17
2;CATHIA;1987;15
2;CATHIA;1988;14
2;CATHIA;1989;14
2;CATHIA;1990;14
2;CATHIA;1991;9
2;CATHIA;1992;9
2;CATHIA;1993;18
2;CATHIA;1994;11
2;CATHIA;1995;4
2;CATHIA;1996;7
2;CATHIA;1997;4
2;CATHIA;1998;11
2;CATHIA;1999;11
2;CATHIA;2000;11
2;CATHIA;2001;3
2;CATHIA;2002;9
2;CATHIA;2003;9
2;CATHIA;2004;3
2;CATHIA;2007;5
2;CATHIA;2008;4
2;CATHIA;2009;6
2;CATHIA;2010;9
2;CATHIA;2013;4
2;CATHIA;2014;4
2;CATHIA;2016;4
2;CATHIA;XXXX;24
